brand,product_name
小米（MI）,小米(MI)15.6英寸游戏笔记本电脑（英特尔八代酷睿I7-8750H 16G 1T+256G SSD GTX1060 6G 72%NTSC高色域 FHD）深空灰
华为（HUAWEI）,荣耀MagicBook 14英寸轻薄窄边框笔记本电脑（AMD锐龙5 8G 512G FHD IPS 正版Office）冰河银
戴尔（DELL）,戴尔DELL燃7000 pro 15.6英寸轻薄笔记本电脑(i7-8565U 8G 128GSSD 1T MX150 2G独显 FHD 背光键盘)冰河银
戴尔（DELL）,戴尔DELL 燃7000 3代 14.0英寸轻薄窄边框笔记本电脑(i7-8565U 8G 256GSSD MX150 2G独显 背光键盘)冰河银
Apple,Apple MacBook Pro 13.3英寸笔记本电脑 深空灰色（2017款Core i5处理器/8GB内存/256GB硬盘 MPXT2CH/A）
ThinkPad,联想ThinkPad 翼480 英特尔8代酷睿14英寸轻薄窄边框笔记本电脑（i7-8550U 8G 128GSSD+1T 2G独显 FHD）银
小米（MI）,小米(MI)Air 13.3英寸全金属超轻薄笔记本电脑(i5-8250U 8G 256G PCIE SSD MX150 2G显存 72%NTSC FHD 预装Office 指纹版)灰
Apple,Apple MacBook Pro 15.4英寸笔记本电脑 深空灰色 配备2018新款（六核八代i7 16G 256G固态硬盘 MR932CH/A）
戴尔（DELL）,戴尔DELL燃7000 3代 14.0英寸轻薄窄边框笔记本电脑(i5-8265U 8G 256GSSD FHD 背光键盘)冰河银
联想（Lenovo）,联想(Lenovo)拯救者Y7000 15.6英寸游戏笔记本电脑(英特尔八代酷睿i5-8300H 8G 2T+128G GTX1050 黑)
戴尔（DELL）,戴尔DELL游匣G3烈焰版 15.6英寸游戏笔记本电脑(i5-8300H 8G 128GSSD 1T GTX1050Ti 4G独显 IPS)
联想（Lenovo）,联想(Lenovo)拯救者Y7000P 15.6英寸游戏笔记本电脑(i7-8750H 16G 2T+512G GTX1060 144Hz京东战队纪念款)
戴尔（DELL）,戴尔DELL游匣G3烈焰版 15.6英寸游戏笔记本电脑(i7-8750H 8G 128GSSD 1T GTX1060MQ 6G独显 背光键盘 IPS)
戴尔（DELL）,戴尔DELL燃7000 3代 14.0英寸轻薄窄边框笔记本电脑(i5-8265U 8G 256GSSD MX150 2G独显 背光键盘)元気粉
惠普（HP）,惠普（HP）暗影精灵4代 15.6英寸游戏笔记本电脑（i7-8750H 16G 128G+1TB GTX1060 6G 144Hz G-Sync IPS）
ThinkPad,联想ThinkPad E480（2XCD）14英寸轻薄窄边框笔记本电脑（i3-7020U 4G 500G FHD Win10）银
华硕（ASUS）,华硕(ASUS) 灵耀S 2代 14英寸三面微边超轻薄笔记本电脑(i7-8550U 8G 256GSSD MX150 2G IPS)冰钻金(S4300)
ThinkPad,联想ThinkPad X280（1PCD）英特尔8代酷睿12.5英寸轻薄笔记本电脑（i5-8250U 8G 256GSSD Win10安全摄像头）
戴尔（DELL）,戴尔DELL成就5000不凡银13.3英寸商务办公超轻薄便携笔记本电脑(i5-8250U 8G 256G PCIe SSD FHD IPS)
惠普（HP）,惠普（HP）暗影精灵4代Plus 17.3英寸游戏笔记本（ i7-8750H 16GB 1TB+256GB GTX1070 8G 144Hz G-Sync IPS）
Apple,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Core i5处理器/8GB内存/256GB硬盘 MPXU2CH/A）
小米（MI）,小米(MI)Air 13.3英寸全金属超轻薄笔记本电脑(i7-8550U 8G 256G PCIE SSD MX150 2G独显 72%NTSC FHD 预装Office 指纹版)银
戴尔（DELL）,戴尔DELL燃7000 pro 15.6英寸轻薄笔记本电脑(i5-8265U 8G 128GSSD 1T MX150 2G独显 FHD 背光键盘)冰河银
华硕（ASUS）,华硕a豆(adol)13.3英寸四面窄边框轻薄笔记本电脑(i5-8250U 8G 256GSSD MX150 IPS)玫瑰金
戴尔（DELL）,戴尔DELL G7 15.6英寸游戏笔记本电脑(i5-8300H 8G 128G PCleSSD 1T GTX1050Ti 4G 背光键盘 指纹 IPS FHD)黑
华硕（ASUS）,华硕(ASUS) 灵耀S 14英寸超窄边框超轻薄笔记本电脑(i5-8250U 8G 128GSSD+1T MX150 2G IPS)灰色(S4100)
小米（MI）,小米(MI)Pro 15.6英寸金属轻薄笔记本(i7-8550U 16G 256G PCIE SSD MX150 2G独显 72%NTSC FHD 指纹识别 预装office)深空灰
